                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.40892,                0.44681,                      1,                 1.2495,              0.0004666,              0.0004666,              0.0004666
                     73,                0.36537,                0.47872,                      1,                 1.2501,             0.00046306,             0.00046306,             0.00046306
                     74,                0.40819,                0.45745,                      1,                 1.2392,             0.00045953,             0.00045953,             0.00045953
                     75,                0.42976,                0.47872,                      1,                 1.2487,               0.000456,               0.000456,               0.000456
                     76,                0.45787,                0.47872,                      1,                  1.243,             0.00045246,             0.00045246,             0.00045246
                     77,                0.40662,                0.48936,                      1,                 1.2442,             0.00044893,             0.00044893,             0.00044893
                     78,                0.39302,                    0.5,                      1,                 1.2469,             0.00044539,             0.00044539,             0.00044539
                     79,                0.38245,                0.48936,                      1,                 1.2409,             0.00044186,             0.00044186,             0.00044186
                     80,                0.38875,                0.52128,                      1,                 1.2326,             0.00043832,             0.00043832,             0.00043832
                     81,                0.43932,                0.51064,                      1,                 1.2375,             0.00043479,             0.00043479,             0.00043479
                     82,                 0.4053,                0.48936,                      1,                 1.2348,             0.00043126,             0.00043126,             0.00043126
                     83,                0.41832,                    0.5,                      1,                 1.2404,             0.00042772,             0.00042772,             0.00042772
                     84,                0.39897,                    0.5,                      1,                  1.238,             0.00042419,             0.00042419,             0.00042419
                     85,                0.34814,                0.51064,                      1,                 1.2384,             0.00042065,             0.00042065,             0.00042065
                     86,                0.38197,                    0.5,                      1,                 1.2451,             0.00041712,             0.00041712,             0.00041712
                     87,                0.39545,                0.47872,                      1,                 1.2499,             0.00041358,             0.00041358,             0.00041358
                     88,                0.43286,                0.45745,                      1,                 1.2633,             0.00041005,             0.00041005,             0.00041005
                     89,                0.33171,                0.44681,                      1,                 1.2572,             0.00040652,             0.00040652,             0.00040652
                     90,                0.37248,                0.45745,                      1,                 1.2651,             0.00040298,             0.00040298,             0.00040298
                     91,                0.36292,                0.45745,                      1,                 1.2585,             0.00039945,             0.00039945,             0.00039945
                     92,                0.33172,                0.45745,                      1,                 1.2529,             0.00039591,             0.00039591,             0.00039591
                     93,                0.31666,                0.45745,                      1,                 1.2542,             0.00039238,             0.00039238,             0.00039238
                     94,                0.35395,                0.46809,                      1,                 1.2494,             0.00038884,             0.00038884,             0.00038884
                     95,                0.34018,                0.44681,                      1,                 1.2446,             0.00038531,             0.00038531,             0.00038531
                     96,                 0.3696,                0.47872,                      1,                 1.2406,             0.00038178,             0.00038178,             0.00038178
                     97,                0.32686,                0.48936,                      1,                 1.2347,             0.00037824,             0.00037824,             0.00037824
                     98,                0.32492,                0.48936,                      1,                   1.23,             0.00037471,             0.00037471,             0.00037471
                     99,                0.37943,                0.48936,                      1,                 1.2416,             0.00037117,             0.00037117,             0.00037117
                    100,                0.34038,                0.47872,                      1,                 1.2499,             0.00036764,             0.00036764,             0.00036764
                    101,                0.37532,                0.47872,                      1,                 1.2587,              0.0003641,              0.0003641,              0.0003641
                    102,                0.25148,                0.45745,                      1,                 1.2642,             0.00036057,             0.00036057,             0.00036057
                    103,                0.32728,                0.41489,                      1,                 1.2741,             0.00035704,             0.00035704,             0.00035704
                    104,                0.29834,                0.42553,                      1,                 1.2719,              0.0003535,              0.0003535,              0.0003535
                    105,                0.28465,                0.42553,                      1,                 1.2621,             0.00034997,             0.00034997,             0.00034997
                    106,                0.33458,                0.42553,                      1,                  1.264,             0.00034643,             0.00034643,             0.00034643
                    107,                0.33836,                0.42553,                      1,                 1.2706,              0.0003429,              0.0003429,              0.0003429
                    108,                0.33946,                0.41489,                      1,                 1.2597,             0.00033936,             0.00033936,             0.00033936
                    109,                0.32177,                0.43617,                      1,                 1.2644,             0.00033583,             0.00033583,             0.00033583
                    110,                0.37581,                0.43617,                      1,                 1.2651,              0.0003323,              0.0003323,              0.0003323
                    111,                0.34818,                0.43617,                      1,                 1.2629,             0.00032876,             0.00032876,             0.00032876
                    112,                0.35657,                0.45745,                      1,                 1.2572,             0.00032523,             0.00032523,             0.00032523
                    113,                0.28106,                0.44681,                      1,                 1.2558,             0.00032169,             0.00032169,             0.00032169
                    114,                0.35188,                0.42553,                      1,                 1.2482,             0.00031816,             0.00031816,             0.00031816
                    115,                0.29556,                0.42553,                      1,                 1.2578,             0.00031462,             0.00031462,             0.00031462
                    116,                0.38431,                0.46809,                      1,                 1.2576,             0.00031109,             0.00031109,             0.00031109
                    117,                0.33486,                0.44681,                      1,                 1.2652,             0.00030756,             0.00030756,             0.00030756
                    118,                0.29982,                0.45745,                      1,                 1.2639,             0.00030402,             0.00030402,             0.00030402
                    119,                0.31286,                0.44681,                      1,                  1.257,             0.00030049,             0.00030049,             0.00030049
                    120,                0.38068,                0.43617,                      1,                 1.2618,             0.00029695,             0.00029695,             0.00029695
                    121,                0.28862,                0.43617,                      1,                 1.2673,             0.00029342,             0.00029342,             0.00029342
                    122,                0.29023,                0.42553,                      1,                 1.2809,             0.00028988,             0.00028988,             0.00028988
